MSZoning,Neighborhood,HouseStyle,Exterior1st,Foundation,BsmtExposure,GarageType,GarageFinish,MoSold_cat,MSSubClass,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,BsmtFinType1_ord,TotalSF,TotalBathrooms,Age,PorchSF,ComponentsQual,HasBsmt,HasGarage,Has2ndFloor,HasPool,Remodeled,SalePrice,SalePrice_log
RL,NAmes,1Story,BrkFace,CBlock,No,Attchd,RFn,Apr,20,10552,5,5,0.0,1018,6,1,2,0,1,2825.4,1.9,51,38,3.25,1,1,0,0,0,165500,12.016732516077072
RL,NridgHt,1Story,MetalSd,PConc,No,Attchd,Fin,Aug,120,7313,9,5,246.0,1153,6,1,2,203,4,2815.8,2.8,2,47,4.0,1,1,0,0,0,277500,12.533579815765737
RL,NridgHt,2Story,VinylSd,PConc,Av,BuiltIn,Fin,Sep,60,13418,8,5,132.0,0,9,1,3,113,3,3356.4,3.5,2,32,3.75,1,1,1,0,1,309000,12.6410997921206
RL,CollgCr,1Story,VinylSd,PConc,No,Attchd,Unf,Jun,20,10859,5,5,0.0,0,6,0,2,392,3,1985.8,1.5,15,64,3.375,1,1,0,0,1,145000,11.884495917930655
RL,NAmes,1Story,Wd Sdng,CBlock,No,Attchd,Fin,Oct,20,8532,5,6,650.0,1213,5,1,2,0,1,2342.0000000000005,1.4,55,0,3.125,1,1,0,0,1,153000,11.938199736300925
RL,NAmes,1Story,VinylSd,CBlock,No,Detchd,Unf,Jan,20,7922,5,7,0.0,731,5,0,1,0,4,1909.3999999999999,1.8,57,52,3.25,1,1,0,0,1,109000,11.599112335481124
RL,Edwards,1Story,AsbShng,PConc,,,,Jun,90,6040,4,5,0.0,0,6,0,0,0,0,1158.5,2.0,53,0,1.375,0,0,0,0,0,82000,11.314486721293981
RL,NAmes,1Story,Wd Sdng,CBlock,No,Attchd,RFn,Dec,20,8658,6,5,101.0,643,6,1,2,0,1,2202.8,2.0,41,138,3.25,1,1,0,0,0,160000,11.982935344196433
RL,Timber,1Story,VinylSd,CBlock,Gd,Attchd,RFn,Jul,20,16905,5,6,0.0,967,5,2,1,0,2,2419.5,1.9,48,104,3.25,1,1,0,0,0,170000,12.04355959836804
RL,SawyerW,SFoyer,HdBoard,CBlock,Av,Attchd,RFn,Dec,85,9180,5,7,0.0,747,5,0,2,240,4,1556.0,1.8,24,0,3.5,1,1,0,0,0,144000,11.87757552297847
RL,CollgCr,1Story,VinylSd,CBlock,Av,Detchd,Unf,Jul,20,9200,5,6,0.0,280,5,0,1,145,3,1688.4,1.8,33,0,3.125,1,1,0,0,1,130250,11.777218637129327
RL,NAmes,1Story,BrkFace,CBlock,No,Attchd,RFn,May,20,7945,5,6,0.0,179,6,0,1,0,4,2077.0,1.8,47,0,3.25,1,1,0,0,0,141000,11.856522261533737
RL,NridgHt,1Story,MetalSd,PConc,No,Attchd,RFn,Feb,120,7658,9,5,412.0,456,6,1,2,196,4,3159.7000000000003,2.8,5,82,4.0,1,1,0,0,0,319900,12.675766851909591
RL,Mitchel,1.5Fin,VinylSd,PConc,No,Attchd,RFn,Aug,50,12822,7,5,0.0,1351,6,1,2,168,4,3301.0,2.3,6,241,3.75,1,1,1,0,0,239686,12.387089184491993
FV,Somerst,1Story,VinylSd,PConc,Av,Attchd,RFn,Jul,20,11096,8,5,0.0,24,7,0,3,0,4,2989.2000000000003,2.0,1,146,3.625,1,1,0,0,0,249700,12.428019481065613
RM,OldTown,2Story,MetalSd,BrkTil,No,,,Jun,190,4456,4,5,0.0,0,8,0,0,0,3,2044.1000000000001,2.0,89,102,2.375,1,0,1,0,1,113000,11.635151947212842
RL,Sawyer,1Story,HdBoard,CBlock,No,Attchd,Unf,Jan,20,7742,5,7,0.0,763,6,0,1,0,2,1725.6,1.8,41,0,3.25,1,1,0,0,0,127000,11.751950239425476
RL,Gilbert,2Story,VinylSd,PConc,Av,Attchd,Fin,Jul,60,13869,6,6,0.0,182,6,0,2,0,4,2105.2,2.4,10,75,3.25,1,1,1,0,0,177000,12.083910661257521
RM,BrkSide,1.5Fin,Wd Sdng,PConc,No,Detchd,Unf,Sep,50,6240,6,6,0.0,0,6,1,2,112,3,1834.0000000000002,1.0,72,0,3.0,1,1,0,0,1,114500,11.648338835562747
RM,IDOTRR,1Story,Wd Sdng,CBlock,Gd,CarPort,Unf,May,90,8472,5,5,0.0,104,5,0,2,106,3,1479.8000000000002,1.8,47,0,3.0,1,1,0,0,0,110000,11.608244735642321
RL,Veenker,1Story,WdShing,CBlock,Gd,Attchd,Fin,Nov,20,50271,9,5,0.0,1810,5,1,3,857,4,3322.4000000000005,2.1,25,72,3.625,1,1,0,0,1,385000,12.861001210669146
RL,NAmes,SLvl,MetalSd,CBlock,No,Detchd,Unf,Feb,80,7134,5,5,0.0,384,6,1,2,0,4,1673.2,1.0,52,50,3.0,1,1,0,0,0,130000,11.775297421715827
RL,NAmes,1Story,HdBoard,CBlock,No,Attchd,RFn,Jul,20,10175,6,5,272.0,490,7,1,2,0,2,2575.0,2.0,44,407,3.125,1,1,0,0,0,180500,12.103491596905931
FV,Somerst,2Story,MetalSd,PConc,No,Attchd,Fin,Aug,160,2645,8,5,456.0,649,7,0,2,115,4,2517.4,3.3,10,0,3.625,1,1,1,0,1,172500,12.058158312538197
RL,CollgCr,2Story,VinylSd,PConc,No,Attchd,RFn,Aug,60,11645,7,5,0.0,0,7,0,2,0,3,2416.9,2.5,2,70,3.625,1,1,1,0,0,196500,12.188422799337028
RL,StoneBr,2Story,VinylSd,PConc,Gd,BuiltIn,Fin,Oct,60,13682,10,5,1031.0,0,10,1,3,192,3,4079.6,3.5,0,37,3.875,1,1,1,0,0,438780,12.991755706536901
RL,CollgCr,1Story,HdBoard,CBlock,Av,Detchd,Unf,Jan,20,7200,5,7,0.0,632,4,0,1,196,4,1410.0,1.0,36,0,3.25,1,1,0,0,0,124900,11.735276702486741
RL,SawyerW,1Story,VinylSd,PConc,No,Detchd,Unf,May,20,13072,6,5,0.0,941,5,0,2,0,4,2090.7000000000003,2.3,2,50,3.5,1,1,0,0,0,158000,11.970356641102999
RM,IDOTRR,2.5Unf,MetalSd,BrkTil,No,Detchd,Unf,Mar,75,7200,5,7,0.0,0,6,0,1,0,3,1541.0,1.0,87,144,2.75,1,1,1,0,1,101000,11.522885696764481
RL,NridgHt,1Story,VinylSd,PConc,Mn,Attchd,RFn,Oct,120,6442,8,5,178.0,24,6,1,2,120,4,2470.4,2.0,1,49,3.75,1,1,0,0,0,202500,12.218500103788143
RM,OldTown,2Story,Stucco,BrkTil,No,Detchd,Unf,Apr,70,10300,7,6,0.0,0,9,0,2,12,3,2175.8,2.0,89,75,3.125,1,1,1,0,1,140000,11.849404844423074
RL,CollgCr,2Story,VinylSd,PConc,No,Attchd,RFn,Feb,60,9375,7,5,573.0,739,8,0,2,576,4,2879.6,3.3,12,36,3.5,1,1,1,0,1,219500,12.299112067295642
RL,NridgHt,2Story,VinylSd,PConc,Av,BuiltIn,RFn,Oct,60,9591,8,5,344.0,0,9,1,3,192,3,3395.0,2.5,3,151,3.75,1,1,1,0,1,317000,12.666660207428574
RL,NAmes,1Story,Plywood,CBlock,Gd,Attchd,RFn,Jul,20,19900,7,5,287.0,912,7,1,2,301,4,3764.6000000000004,2.8,40,0,3.125,1,1,0,0,1,180000,12.100717685412471
RL,CollgCr,1Story,VinylSd,PConc,Av,Attchd,RFn,Jun,20,10665,7,5,167.0,1013,7,0,2,144,4,2648.6,2.8,4,29,3.625,1,1,0,0,0,226000,12.328294703023394
RM,OldTown,1Story,MetalSd,CBlock,No,Attchd,Unf,Jun,30,4608,4,6,0.0,0,4,0,1,0,3,1349.3,1.0,65,0,3.125,1,1,0,0,1,80000,11.289794413577894
RL,ClearCr,1.5Fin,BrkFace,CBlock,No,Attchd,Fin,Jul,50,15593,7,4,0.0,603,7,1,2,0,2,3338.2999999999997,2.0,53,135,3.125,1,1,1,0,0,225000,12.323860125621126
RL,NAmes,1Story,Plywood,CBlock,Gd,Attchd,Fin,Feb,20,13651,7,6,1115.0,1880,8,2,2,300,4,4010.9,2.8,34,0,3.5,1,1,0,0,0,244000,12.404927602627597
RL,Mitchel,1Story,HdBoard,CBlock,No,Detchd,Unf,Jun,20,7599,4,6,0.0,565,4,0,2,0,4,1527.9,1.8,25,0,3.0,1,1,0,0,1,129500,11.771443882099637
RL,Gilbert,2Story,VinylSd,PConc,No,Attchd,Fin,Dec,60,10141,7,5,40.0,0,7,1,2,0,3,2391.0,2.5,11,385,3.25,1,1,1,0,0,185000,12.128116509451258
RL,NAmes,1Story,Wd Sdng,CBlock,No,Attchd,Unf,May,20,10200,5,7,104.0,320,6,0,2,0,4,1963.3000000000002,1.8,56,0,3.125,1,1,0,0,1,144900,11.88380602959621
RM,OldTown,2Story,VinylSd,CBlock,No,Detchd,Unf,May,50,5790,3,6,0.0,0,8,0,1,0,3,2283.0,2.0,95,202,3.25,1,1,1,0,1,107400,11.58432477200052
RM,MeadowV,SLvl,CemntBd,CBlock,Gd,BuiltIn,Unf,Nov,180,1596,4,5,0.0,462,5,0,1,120,4,1359.6999999999998,1.8,36,101,3.125,1,1,1,0,0,91000,11.418625774449598
RL,NAmes,1Story,VinylSd,CBlock,No,Detchd,Unf,Apr,20,8475,4,7,0.0,228,4,0,1,0,4,1713.6,1.0,52,0,3.25,1,1,0,0,0,135750,11.818577604251555
RM,BrkSide,1.5Fin,Wd Sdng,CBlock,No,Detchd,Unf,Jan,50,8635,5,5,0.0,336,6,0,1,0,2,1827.6,1.8,60,0,3.0,1,1,1,0,1,127000,11.751950239425476
RL,Sawyer,1Story,HdBoard,CBlock,No,,,Apr,90,10778,4,5,0.0,0,8,0,0,0,3,3189.6,2.0,42,0,2.25,1,0,0,0,0,136500,11.824087219587643
RM,OldTown,2Story,Wd Sdng,PConc,No,Detchd,Unf,May,50,10440,5,6,0.0,0,5,0,2,74,3,1588.0,1.5,99,128,3.125,1,1,1,0,1,110000,11.608244735642321
RL,NAmes,2Story,VinylSd,CBlock,No,Attchd,Fin,Jun,60,13000,6,6,576.0,448,8,1,1,0,1,2868.8,2.5,41,324,3.375,1,1,1,0,0,193500,12.173037959397275
RM,Mitchel,1Story,VinylSd,PConc,No,Attchd,Fin,Mar,120,4500,6,5,443.0,1201,5,0,2,0,4,2329.7999999999997,2.8,8,199,3.75,1,1,0,0,0,153500,11.941462360646149
RL,Somerst,1Story,VinylSd,PConc,No,Attchd,RFn,Oct,20,10206,8,5,468.0,33,6,1,3,144,4,2821.2000000000003,2.0,1,99,3.5,1,1,0,0,0,245000,12.409017571151187
RL,NAmes,1Story,MetalSd,CBlock,No,Detchd,Unf,Jul,20,8892,5,5,66.0,0,6,0,2,74,3,1925.0,1.5,47,0,3.125,1,1,0,0,0,126500,11.748005492256807
RL,Gilbert,SLvl,HdBoard,PConc,No,BuiltIn,Fin,May,80,8530,7,5,22.0,0,7,1,2,120,3,1781.2,2.5,14,72,3.25,1,1,1,0,1,168500,12.034696963475044
RL,NoRidge,2Story,HdBoard,CBlock,No,Attchd,Unf,Apr,60,16059,8,5,284.0,0,9,1,2,127,3,3459.5,2.5,15,82,3.625,1,1,1,0,1,260000,12.468440756144114
RL,Gilbert,2Story,VinylSd,PConc,Av,BuiltIn,Fin,Mar,60,11911,6,5,0.0,0,6,1,2,100,3,2119.3999999999996,2.5,4,38,3.625,1,1,1,0,0,174000,12.066816325306588
FV,Somerst,2Story,VinylSd,PConc,Av,Detchd,RFn,Jun,160,3951,6,5,76.0,0,4,0,2,0,3,1717.6,2.5,0,234,3.625,1,1,1,0,0,164500,12.010671928196443
C (all),IDOTRR,1.5Fin,Plywood,CBlock,No,,,Oct,50,8470,3,2,0.0,0,6,0,0,0,3,2346.9,1.0,94,156,1.75,1,0,0,0,1,85000,11.350418300109132
RL,CollgCr,1Story,VinylSd,PConc,No,,,Aug,20,8070,4,5,0.0,588,5,0,0,0,4,1788.0,1.8,13,0,2.625,1,0,0,0,1,123600,11.724813914587886
RL,NAmes,1Story,BrkFace,Slab,,Detchd,Unf,Jul,20,7200,4,5,0.0,0,4,0,2,0,0,1046.0,1.0,56,29,2.25,0,1,0,0,0,109900,11.60733523953139
RL,NAmes,1Story,HdBoard,CBlock,No,Attchd,Unf,Dec,20,8500,5,3,203.0,600,6,0,2,0,1,2231.5,1.0,45,0,3.0,1,1,0,0,0,98600,11.498836682527127
RL,Crawfor,1Story,Wd Sdng,BrkTil,No,Detchd,Unf,Aug,30,13360,5,7,0.0,713,5,0,2,0,4,1672.8000000000002,1.8,88,44,3.5,1,1,0,0,1,163500,12.004574385508691
C (all),OldTown,2.5Unf,MetalSd,BrkTil,Mn,Detchd,Unf,Nov,190,7200,6,6,0.0,1046,9,1,2,0,1,3268.2,2.4,97,99,3.125,1,1,1,0,1,133900,11.804855999911272
RL,CollgCr,2Story,VinylSd,PConc,No,Attchd,RFn,May,60,9337,6,5,0.0,648,7,0,2,0,4,2452.1,3.3,10,162,3.625,1,1,1,0,0,204750,12.229549885708273
RL,Gilbert,2Story,VinylSd,PConc,No,BuiltIn,Fin,Apr,60,9765,6,8,68.0,310,6,1,2,232,4,2014.0,2.5,16,63,3.75,1,1,1,0,0,185000,12.128116509451258
RL,CollgCr,1Story,VinylSd,PConc,Av,Attchd,RFn,Aug,20,10264,7,5,183.0,1162,6,0,2,158,4,2866.2000000000003,2.0,7,29,3.625,1,1,0,0,0,214000,12.273735966890268
RL,Edwards,1Story,HdBoard,CBlock,No,Attchd,Fin,May,20,10921,4,5,48.0,520,6,0,1,120,1,1735.3,1.8,42,0,3.0,1,1,0,0,0,94750,11.459007676978688
RL,Edwards,1Story,Wd Sdng,BrkTil,No,Basment,Unf,May,30,10625,5,5,0.0,108,5,0,1,0,4,1209.9,1.0,90,77,2.75,1,1,0,0,1,83000,11.326607934898927
RL,NAmes,1Story,Plywood,CBlock,No,,,Jan,20,9320,4,5,0.0,569,6,0,0,352,4,1992.7,2.3,51,0,2.125,1,0,0,0,0,128950,11.767187766223199
RL,NWAmes,1Story,Plywood,PConc,Mn,Attchd,RFn,Feb,20,10603,6,7,28.0,1200,6,2,2,168,4,2898.0,2.8,33,68,3.25,1,1,0,0,1,205000,12.230770136157428
RL,SawyerW,2Story,HdBoard,CBlock,No,Attchd,Fin,Jun,60,9206,6,5,336.0,0,7,1,2,192,3,2332.5,2.5,25,46,3.375,1,1,1,0,0,178000,12.08954444723597
RL,SawyerW,1Story,HdBoard,Slab,,Attchd,Unf,Jun,90,7018,5,5,0.0,0,8,0,2,0,0,1541.4,2.0,30,0,2.125,0,1,0,0,0,118964,11.68658461118553
RL,CollgCr,1Story,VinylSd,PConc,No,Attchd,RFn,May,20,10402,7,5,0.0,0,6,0,3,0,3,2216.2000000000003,2.0,1,36,3.5,1,1,0,0,0,198900,12.200562492481511
RM,IDOTRR,1.5Fin,Stucco,PConc,No,Detchd,Unf,Jun,50,7758,7,4,600.0,224,7,2,1,0,3,2650.0,1.5,76,184,3.125,1,1,1,0,1,169500,12.040614105490253
FV,Somerst,2Story,VinylSd,PConc,No,Attchd,RFn,Aug,60,9375,8,5,768.0,0,9,1,2,140,3,2841.9,2.5,5,45,3.75,1,1,1,0,1,250000,12.429220196836383
RM,OldTown,1Story,VinylSd,BrkTil,No,Detchd,Unf,Aug,30,10800,4,7,0.0,0,6,0,1,0,3,1565.8000000000002,1.0,122,0,2.75,1,1,0,0,1,100000,11.51293546492023
RM,OldTown,1Story,VinylSd,CBlock,No,Detchd,Unf,Apr,20,6000,5,5,0.0,104,5,0,1,0,4,1425.2,1.0,60,0,3.25,1,1,0,0,1,115000,11.652696102959753
RM,IDOTRR,1.5Fin,CemntBd,CBlock,No,,,Aug,50,8500,5,7,0.0,0,7,0,0,0,3,2159.9,2.0,88,144,2.125,1,0,1,0,1,115000,11.652696102959753
RL,NWAmes,1Story,Plywood,CBlock,No,Attchd,RFn,Jan,20,11751,6,6,480.0,705,7,1,2,0,2,3329.7,2.0,33,122,3.375,1,1,0,0,0,190000,12.154784614286667
RL,Edwards,1.5Fin,Wd Sdng,CBlock,No,Attchd,Unf,Oct,50,9525,6,4,0.0,444,7,0,1,182,1,2657.7,2.0,52,0,3.0,1,1,1,0,1,136900,11.827013315851762
RL,Gilbert,SLvl,VinylSd,PConc,No,BuiltIn,Fin,Apr,80,7750,7,5,0.0,250,7,1,2,180,4,1737.2,2.5,10,0,3.375,1,1,1,0,0,180000,12.100717685412471
RL,CollgCr,2Story,VinylSd,PConc,Av,BuiltIn,Fin,Oct,60,9965,7,5,220.0,984,10,1,3,120,4,3714.8999999999996,3.3,0,352,3.875,1,1,1,0,0,383970,12.85832230788469
RL,Crawfor,1Story,Wd Sdng,CBlock,Mn,Basment,Unf,Oct,20,21000,6,5,184.0,35,7,2,2,166,4,3706.2,2.8,54,312,3.375,1,1,0,0,0,217000,12.28765724080691
RL,Crawfor,2Story,Wd Sdng,CBlock,No,Detchd,Unf,Jul,70,7259,6,8,0.0,774,9,1,1,224,4,3148.5,3.3,62,0,3.375,1,1,1,0,1,259500,12.466515835145202
FV,Somerst,2Story,MetalSd,PConc,No,Detchd,Unf,Jun,160,3230,6,5,1129.0,419,5,1,2,0,4,2044.6000000000001,2.5,8,32,3.25,1,1,1,0,0,176000,12.07824495582233
RL,Sawyer,1Story,Wd Sdng,CBlock,No,Attchd,Unf,Sep,20,11616,5,5,116.0,170,6,1,1,0,3,1965.6,1.4,47,164,3.0,1,1,0,0,0,139000,11.842236406331555
RL,Edwards,1Story,VinylSd,PConc,No,Attchd,Unf,Apr,20,8536,5,5,0.0,0,5,0,2,80,3,2032.4,1.5,1,64,3.25,1,1,0,0,1,155000,11.951186847493476
RL,SawyerW,2Story,Plywood,PConc,Mn,Attchd,Unf,May,60,12376,7,5,0.0,1470,11,2,3,367,4,4569.4,3.8,20,0,3.375,1,1,1,0,0,320000,12.676079399771027
RL,CollgCr,2Story,VinylSd,PConc,No,Attchd,Fin,Jul,60,8461,6,5,0.0,0,8,1,2,0,3,2044.9,2.5,1,24,3.625,1,1,1,0,1,163990,12.0075668272517
RL,ClearCr,SLvl,Plywood,CBlock,Gd,Attchd,Unf,Oct,80,21453,6,5,0.0,938,4,2,2,0,4,1738.4,1.8,37,260,3.25,1,1,0,0,0,180000,12.100717685412471
RM,IDOTRR,1.5Fin,AsbShng,PConc,No,Detchd,Unf,Jun,50,6060,4,5,0.0,0,4,0,1,0,3,1713.6,1.0,68,140,3.125,1,1,1,0,1,100000,11.51293546492023
RL,NAmes,1Story,MetalSd,CBlock,No,Attchd,Unf,Jun,20,9464,6,7,135.0,570,5,0,1,0,2,1951.5,1.0,50,130,3.25,1,1,0,0,0,136000,11.820417517632333
RL,SawyerW,1Story,Plywood,PConc,No,Attchd,RFn,Mar,120,7892,6,5,0.0,300,5,0,2,0,4,2163.7,2.0,15,63,3.625,1,1,0,0,0,153900,11.944064817531656
RL,NWAmes,1Story,HdBoard,CBlock,No,Attchd,Unf,Jan,20,17043,6,5,0.0,0,7,1,2,192,3,2680.4000000000005,2.0,30,0,3.125,1,1,0,0,1,181000,12.10625783509458
RM,IDOTRR,1.5Fin,Wd Sdng,CBlock,Av,,,Jun,190,6780,6,8,0.0,490,5,0,0,53,4,1176.0,1.8,71,0,2.25,1,0,0,0,1,84500,11.344518647594766
RL,NPkVill,1Story,Plywood,CBlock,No,Attchd,RFn,Feb,120,4928,6,5,0.0,120,5,1,2,0,4,1820.4,2.0,31,205,3.125,1,1,0,0,0,128000,11.759793355371237
RM,OldTown,1.5Unf,WdShing,BrkTil,No,,,Jun,45,4388,5,7,0.0,116,5,1,0,0,3,1383.1,1.0,77,0,2.625,1,0,0,0,1,87000,11.373674891823535
RL,NAmes,2Story,VinylSd,CBlock,No,Attchd,RFn,Jul,60,7590,6,5,266.0,512,6,1,2,188,2,1882.9,1.5,40,108,3.0,1,1,1,0,0,155000,11.951186847493476
RL,NAmes,1Story,Plywood,CBlock,No,2Types,RFn,Jul,20,8973,5,7,85.0,567,6,0,2,0,1,1866.3000000000002,1.9,48,260,3.25,1,1,0,0,1,150000,11.918397239722838
RL,NAmes,2Story,MetalSd,CBlock,No,Attchd,Fin,May,60,14200,7,6,309.0,445,8,2,2,105,1,2905.0,2.5,40,66,3.375,1,1,1,0,0,226000,12.328294703023394
