MSZoning,Neighborhood,HouseStyle,Exterior1st,Foundation,BsmtExposure,GarageType,GarageFinish,MoSold_cat,MSSubClass,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,BsmtFinType1_ord,TotalSF,TotalBathrooms,Age,PorchSF,ComponentsQual,HasBsmt,HasGarage,Has2ndFloor,HasPool,Remodeled
RL,NAmes,1Story,MetalSd,CBlock,Mn,Detchd,Unf,May,20,8712,5,7,0.0,860,5,0,1,0,2,2106.0,1.8,52,0,3.125,1,1,0,0,1
RH,Edwards,2Story,Wd Sdng,BrkTil,No,Detchd,Unf,Jul,70,6629,6,6,0.0,551,6,0,1,147,2,1912.0,2.8,84,0,3.125,1,1,1,0,1
FV,Somerst,2Story,CemntBd,PConc,No,Attchd,RFn,Dec,60,11143,8,5,0.0,0,8,1,2,159,3,3740.2,3.0,3,214,3.625,1,1,1,0,1
RL,NAmes,1.5Fin,Wd Sdng,CBlock,No,Attchd,RFn,Jun,50,9786,6,7,0.0,600,7,1,2,0,1,2471.3,1.5,44,128,3.125,1,1,1,0,1
RM,BrkSide,1.5Fin,WdShing,BrkTil,No,BuiltIn,RFn,Jul,50,6000,6,7,0.0,0,5,1,1,0,3,1852.6,1.0,79,112,3.0,1,1,1,0,1
RM,OldTown,2Story,Wd Sdng,BrkTil,Mn,Detchd,Unf,May,70,9900,6,4,0.0,0,8,0,1,0,3,3025.4,2.0,127,48,2.75,1,1,1,0,1
RL,NPkVill,1Story,Plywood,CBlock,No,Attchd,RFn,Feb,120,4928,6,5,0.0,120,5,1,2,0,4,1820.4,2.0,31,205,3.125,1,1,0,0,0
RL,Timber,2Story,VinylSd,PConc,Gd,Attchd,Fin,Aug,60,12244,8,5,226.0,871,10,2,3,168,4,3456.1000000000004,3.3,5,0,3.625,1,1,1,0,0
RL,Edwards,1.5Fin,Wd Sdng,CBlock,No,Attchd,Unf,Jan,50,11409,5,4,0.0,292,8,1,1,0,3,2336.4,1.5,60,160,3.125,1,1,1,0,1
RL,Edwards,1Story,Wd Sdng,BrkTil,Mn,,,Jul,30,9098,4,7,0.0,348,5,0,0,0,4,1033.2,1.8,87,144,2.5,1,0,0,0,1
RM,BrkSide,1.5Fin,Wd Sdng,BrkTil,No,Detchd,Unf,Apr,50,6120,5,6,0.0,0,5,0,2,112,3,2285.7,1.5,73,0,2.875,1,1,1,0,1
RM,OldTown,2Story,Stucco,PConc,No,Attchd,Unf,Jun,70,2500,7,8,0.0,299,7,1,1,0,4,2559.0,2.3,94,0,3.375,1,1,1,0,1
RL,CollgCr,1Story,VinylSd,PConc,No,Attchd,RFn,Aug,20,11249,6,5,0.0,334,6,0,2,0,4,2170.5,2.8,12,26,3.875,1,1,0,0,0
RM,OldTown,1.5Fin,MetalSd,CBlock,No,Detchd,Unf,May,50,12358,5,6,0.0,360,7,0,2,237,1,1958.0,1.5,66,0,3.0,1,1,0,0,1
RL,ClearCr,2Story,VinylSd,PConc,Gd,Attchd,RFn,May,60,12798,6,5,0.0,462,8,0,2,403,4,2188.7000000000003,3.3,11,299,3.375,1,1,1,0,0
RL,NoRidge,2Story,VinylSd,PConc,No,Attchd,RFn,Jul,60,46589,8,7,528.0,1361,8,1,3,517,4,3756.4,3.3,15,76,3.75,1,1,1,0,1
RL,NAmes,1Story,Plywood,CBlock,No,Attchd,RFn,May,20,12160,5,5,180.0,1000,6,0,2,0,1,2138.4,1.8,51,0,2.875,1,1,0,0,0
RL,NAmes,1Story,HdBoard,CBlock,No,Attchd,RFn,Jul,20,8250,6,7,260.0,787,6,0,2,0,1,1973.1,1.8,44,0,3.5,1,1,0,0,0
RL,NAmes,1Story,MetalSd,CBlock,No,Attchd,Unf,Jul,20,9600,5,7,0.0,607,5,1,1,0,4,2011.4,1.0,59,200,3.375,1,1,0,0,1
RL,NAmes,1Story,HdBoard,CBlock,No,,,Apr,20,10500,4,5,0.0,432,5,1,0,0,4,1562.2,1.0,39,0,2.25,1,0,0,0,0
RL,NridgHt,1Story,VinylSd,PConc,Av,Attchd,RFn,Jun,120,7052,7,5,240.0,659,6,1,2,192,4,2459.5,2.8,1,36,3.625,1,1,0,0,0
RL,Mitchel,1Story,HdBoard,CBlock,Av,Attchd,Unf,Jun,90,25000,5,4,0.0,0,8,0,2,0,3,2947.6000000000004,2.0,40,0,3.0,1,1,0,0,0
RL,Sawyer,1Story,Plywood,CBlock,No,Detchd,Unf,Jul,20,7064,5,6,153.0,560,6,0,2,192,2,1771.1,1.0,32,0,3.0,1,1,0,0,0
RL,NAmes,SLvl,BrkFace,PConc,Gd,Attchd,RFn,Oct,80,9350,5,8,0.0,633,6,1,2,0,4,2248.7,2.4,43,188,3.375,1,1,0,0,1
RL,Mitchel,1Story,CemntBd,PConc,No,Attchd,RFn,Jul,20,13265,8,5,148.0,1218,7,2,3,150,4,2943.4,2.8,6,59,3.625,1,1,0,0,0
FV,Somerst,1Story,VinylSd,PConc,No,Attchd,Fin,Nov,120,4274,7,5,,1106,4,0,2,0,4,2237.3,2.3,1,116,3.625,1,1,0,0,1
RM,MeadowV,2Story,CemntBd,CBlock,No,,,May,160,1533,4,6,0.0,0,6,1,0,0,3,1782.9,1.5,39,0,2.25,1,0,1,0,1
RL,NridgHt,1Story,VinylSd,PConc,Av,Attchd,Fin,Jan,20,9591,8,5,262.0,1088,7,1,3,0,4,3091.0,2.8,5,196,3.875,1,1,0,0,1
RL,NAmes,1Story,BrkFace,CBlock,No,Detchd,Unf,Jun,20,7931,5,6,0.0,374,6,1,1,0,2,2291.2,1.5,48,0,3.0,1,1,0,0,0
RL,NWAmes,2Story,Plywood,CBlock,No,Attchd,Fin,Jun,60,12046,6,6,298.0,156,8,1,2,0,3,2708.4,2.5,31,224,3.125,1,1,1,0,0
RL,NPkVill,2Story,Plywood,CBlock,No,Attchd,Unf,Apr,160,2289,6,6,0.0,311,7,1,2,28,4,2127.4,2.5,31,0,3.0,1,1,1,0,0
RL,NridgHt,2Story,VinylSd,PConc,Av,Attchd,Fin,Jul,60,11308,9,5,154.0,936,10,1,3,0,4,3076.8,3.3,1,102,4.0,1,1,1,0,0
RL,OldTown,2Story,HdBoard,CBlock,Mn,CarPort,Unf,Aug,190,10615,3,5,0.0,440,7,0,2,0,2,2492.1,2.8,109,74,2.625,1,1,1,0,1
RL,Sawyer,1Story,HdBoard,CBlock,No,Detchd,Unf,Feb,20,11200,5,5,0.0,906,5,0,1,0,1,1879.0,1.8,43,0,3.25,1,1,0,0,0
RL,Gilbert,2Story,VinylSd,PConc,No,BuiltIn,Fin,May,60,9505,7,5,180.0,0,8,1,2,144,3,2742.2,2.5,9,48,3.625,1,1,1,0,0
RM,OldTown,2.5Unf,MetalSd,BrkTil,No,Detchd,Unf,Jul,75,8850,7,6,0.0,0,7,1,1,0,3,2348.5,1.0,90,330,3.25,1,1,1,0,1
RL,NridgHt,1Story,VinylSd,PConc,No,Attchd,RFn,Apr,120,5063,7,5,166.0,904,6,1,2,172,4,2368.6,2.8,2,62,3.625,1,1,0,0,1
RL,NWAmes,2Story,HdBoard,CBlock,No,Attchd,Unf,Jun,60,11700,6,6,365.0,384,7,1,2,224,4,2313.6,2.4,39,0,3.25,1,1,1,0,0
RL,SawyerW,2Story,HdBoard,PConc,Mn,Attchd,RFn,Nov,60,13125,7,5,0.0,48,8,1,3,72,2,3020.5,3.3,16,416,3.75,1,1,1,0,0
RL,SWISU,2Story,VinylSd,PConc,No,,,Mar,190,5687,5,6,0.0,210,9,0,0,0,1,2345.5,2.8,96,184,2.125,1,0,1,0,1
RL,NridgHt,1Story,VinylSd,PConc,Mn,Attchd,RFn,Jun,120,6371,7,5,128.0,733,6,1,2,192,4,2448.8,2.8,1,35,3.625,1,1,0,0,1
RL,NAmes,SLvl,MetalSd,CBlock,Av,BuiltIn,Unf,Dec,80,10500,5,7,82.0,349,5,0,1,35,4,1413.6,1.4,36,0,3.0,1,1,1,0,1
RM,BrDale,2Story,CemntBd,CBlock,No,,,Apr,160,1680,6,5,236.0,0,7,0,0,201,3,1757.6999999999998,1.5,35,0,2.25,1,0,1,0,0
RL,NPkVill,1Story,Plywood,CBlock,No,Attchd,RFn,Oct,120,4043,6,6,0.0,559,4,0,2,0,4,1929.5,2.0,31,255,3.125,1,1,0,0,0
RL,Sawyer,1Story,MetalSd,CBlock,No,Detchd,Unf,Dec,20,8281,5,5,0.0,553,5,1,1,0,1,1561.2,1.0,44,236,3.125,1,1,0,0,0
RL,NAmes,1Story,Plywood,CBlock,No,2Types,RFn,Jul,20,8973,5,7,85.0,567,6,0,2,0,1,1866.3,1.9,48,260,3.25,1,1,0,0,1
RL,Sawyer,SFoyer,HdBoard,CBlock,Gd,Basment,Fin,Jan,85,16647,5,5,0.0,1390,6,2,2,0,4,2813.0,2.8,32,0,3.125,1,1,0,0,1
RL,NAmes,1Story,Wd Sdng,CBlock,No,Attchd,RFn,Aug,20,8176,5,6,0.0,846,6,0,1,0,1,1907.8,1.8,49,0,2.875,1,1,0,0,1
RM,OldTown,1Story,VinylSd,CBlock,No,Attchd,Unf,Jul,20,5820,3,8,0.0,256,6,0,1,142,4,2097.5,1.8,51,98,3.25,1,1,0,0,1
FV,Somerst,2Story,CemntBd,PConc,No,Attchd,RFn,May,60,8125,7,6,,0,7,0,2,0,3,2321.9,2.5,1,0,3.625,1,1,1,0,0
RL,Edwards,1.5Fin,Wd Sdng,BrkTil,Mn,Detchd,Unf,Aug,50,12354,6,8,0.0,0,7,0,2,0,3,1749.9,1.0,89,46,3.125,1,1,1,0,1
FV,Somerst,2Story,MetalSd,PConc,No,Detchd,Unf,Apr,160,2651,7,5,0.0,641,6,0,2,153,4,1920.4,3.3,6,50,3.625,1,1,1,0,0
RL,NWAmes,1Story,Plywood,PConc,No,Attchd,Unf,May,20,10400,7,6,288.0,0,7,1,2,98,3,2733.2,2.0,38,0,3.125,1,1,0,0,0
RM,Edwards,SLvl,VinylSd,PConc,Gd,Basment,Fin,May,180,3675,5,5,80.0,547,5,0,2,0,4,1513.1,1.8,1,28,3.25,1,1,0,0,0
RL,CollgCr,1Story,VinylSd,PConc,No,Detchd,Unf,Feb,20,9245,5,5,0.0,686,5,0,2,0,4,1787.7,1.4,14,0,3.375,1,1,0,0,1
RL,Timber,2Story,MetalSd,PConc,Gd,Attchd,RFn,Apr,60,26178,7,5,293.0,965,9,2,2,320,4,3491.2,3.3,17,27,3.625,1,1,1,0,1
RL,CollgCr,2Story,VinylSd,PConc,Av,Attchd,RFn,Apr,60,10667,7,6,0.0,385,6,1,2,158,4,2304.5,3.3,13,61,3.625,1,1,1,0,0
RL,NAmes,SLvl,Plywood,CBlock,Gd,Attchd,RFn,Jun,80,9020,6,5,259.0,624,6,0,2,176,4,2356.6,2.3,44,0,3.0,1,1,0,0,0
RL,NAmes,SLvl,AsbShng,CBlock,Av,Basment,RFn,Mar,80,9600,6,6,164.0,674,7,2,1,0,2,2452.8,1.8,55,189,3.25,1,1,0,0,1
RL,NridgHt,2Story,VinylSd,PConc,No,BuiltIn,RFn,Jul,160,2268,7,5,106.0,567,6,0,2,0,4,2240.8,2.0,6,27,3.625,1,1,1,0,1
RH,SWISU,2.5Fin,VinylSd,CBlock,No,,,Mar,190,10896,6,7,0.0,256,14,0,0,0,3,4553.0,2.0,93,110,2.125,1,0,1,0,1
FV,Somerst,2Story,VinylSd,PConc,No,Attchd,RFn,May,60,12552,7,5,0.0,222,8,1,2,0,4,2749.8,2.5,6,136,3.625,1,1,1,0,1
RL,NAmes,1Story,Wd Sdng,CBlock,No,Attchd,Unf,Jul,20,7390,5,7,151.0,902,6,0,1,0,4,1976.4,1.8,53,0,3.0,1,1,0,0,0
RL,NWAmes,1Story,HdBoard,CBlock,No,Attchd,Unf,Jun,20,9790,6,5,451.0,569,6,2,2,0,4,2390.4,2.3,47,26,3.0,1,1,0,0,0
RL,NridgHt,1Story,VinylSd,PConc,Av,Attchd,RFn,Jul,20,11146,8,5,250.0,0,7,1,3,169,3,3092.9,2.0,3,39,3.75,1,1,0,0,0
RL,BrkSide,1.5Fin,Wd Sdng,PConc,No,Detchd,Unf,Jun,50,9120,7,6,0.0,329,8,0,1,0,1,2646.8,2.8,83,100,3.375,1,1,1,0,1
RL,Crawfor,1Story,MetalSd,PConc,No,Basment,Unf,Jun,30,6305,5,7,0.0,0,5,1,1,0,3,1695.0,1.0,69,0,2.875,1,1,0,0,1
RL,NAmes,1Story,MetalSd,CBlock,No,Attchd,Unf,Jun,20,9600,5,6,0.0,504,5,0,1,0,1,1898.0,1.0,53,0,3.125,1,1,0,0,0
RL,Gilbert,2Story,VinylSd,PConc,No,Attchd,Fin,Jul,60,7875,7,5,0.0,0,8,1,2,0,3,2141.7000000000003,2.5,3,75,3.625,1,1,1,0,0
RL,CollgCr,1Story,VinylSd,PConc,No,Attchd,RFn,Jan,20,8814,7,5,80.0,925,6,0,2,264,4,2300.0,2.8,2,98,3.625,1,1,0,0,1
RL,NridgHt,1Story,VinylSd,PConc,No,Attchd,RFn,Mar,20,10171,7,5,168.0,2,7,0,2,0,4,2755.6000000000004,2.0,6,0,3.625,1,1,0,0,0
RL,NWAmes,SLvl,HdBoard,CBlock,Av,Attchd,Unf,Jul,80,10395,6,6,233.0,605,6,1,2,0,4,1857.6,2.4,29,0,3.125,1,1,0,0,0
RL,Crawfor,1.5Fin,MetalSd,CBlock,Mn,Detchd,Unf,Mar,50,11275,6,7,480.0,297,7,1,2,0,1,2674.2,1.5,75,19,2.875,1,1,1,0,1
RH,SawyerW,1Story,HdBoard,CBlock,No,Detchd,Unf,Nov,20,8900,4,4,0.0,1056,5,0,1,0,1,1900.8,1.8,40,42,3.0,1,1,0,0,0
RL,NoRidge,2Story,HdBoard,PConc,Gd,Attchd,Fin,Jul,60,35760,10,5,1378.0,1387,10,1,3,361,4,5182.8,4.3,11,76,3.875,1,1,1,0,1
RL,Crawfor,1Story,WdShing,PConc,No,Detchd,Unf,Mar,30,4280,5,6,0.0,365,4,1,1,0,3,1050.0,1.0,94,34,3.25,1,1,0,0,1
RL,Mitchel,1Story,Plywood,CBlock,Gd,Attchd,Unf,Jul,90,12640,6,5,0.0,936,8,0,2,40,1,3115.9,2.0,30,0,3.0,1,1,0,0,0
RL,CollgCr,1Story,VinylSd,PConc,Av,Attchd,RFn,Aug,20,10264,7,5,183.0,1162,6,0,2,158,4,2866.2000000000003,2.0,7,29,3.625,1,1,0,0,0
RL,Mitchel,1Story,HdBoard,CBlock,Av,Attchd,RFn,Apr,20,10010,5,5,0.0,1071,6,1,2,240,4,2507.9,1.8,32,38,3.25,1,1,0,0,1
FV,Somerst,2Story,MetalSd,PConc,No,Detchd,RFn,Apr,160,3180,7,5,0.0,0,4,0,2,0,3,1683.0,2.5,1,166,3.625,1,1,1,0,0
RL,NWAmes,2Story,WdShing,CBlock,No,Attchd,RFn,Nov,60,11952,7,6,0.0,0,8,1,2,0,3,2624.6,2.5,30,276,3.125,1,1,1,0,0
RL,StoneBr,1Story,HdBoard,CBlock,No,Attchd,RFn,Oct,120,3696,8,5,0.0,0,5,0,2,0,3,1947.2,1.5,21,211,3.625,1,1,0,0,0
RL,Edwards,1Story,BrkComm,CBlock,No,Attchd,Unf,Jun,20,9571,5,3,0.0,0,5,0,1,0,3,2303.6000000000004,1.0,51,0,2.75,1,1,0,0,0
RL,CollgCr,1Story,VinylSd,PConc,No,Attchd,Fin,May,20,11923,9,5,0.0,0,7,0,2,288,3,3252.2,2.0,2,136,3.875,1,1,0,0,0
RM,OldTown,2.5Unf,Wd Sdng,BrkTil,No,Detchd,Unf,Jul,75,13500,10,9,0.0,0,9,1,2,105,3,3772.1,3.5,115,502,3.875,1,1,1,0,1
RL,NAmes,1Story,Wd Sdng,CBlock,,Detchd,Unf,Jun,20,7200,5,7,0.0,0,5,0,2,0,0,1046.0,1.0,56,0,2.25,0,1,0,0,0
RL,StoneBr,1Story,VinylSd,PConc,Gd,Attchd,Fin,Aug,20,11302,8,5,238.0,1422,7,1,3,180,4,3284.1,2.8,1,195,3.625,1,1,0,0,1
RL,NridgHt,1Story,CemntBd,PConc,Av,Attchd,Unf,Jul,20,11694,9,5,452.0,48,9,1,3,0,4,3294.6000000000004,2.0,0,368,3.875,1,1,0,0,0
RL,Gilbert,2Story,VinylSd,PConc,No,Attchd,Fin,Jul,60,11214,7,5,0.0,0,10,1,2,89,3,2630.0,2.5,8,0,3.5,1,1,1,0,1
RL,NWAmes,1Story,HdBoard,CBlock,No,Attchd,RFn,Jul,20,10140,5,6,0.0,788,6,0,2,0,4,1926.6,2.3,31,88,3.375,1,1,0,0,0
RL,NAmes,2Story,HdBoard,CBlock,Gd,Attchd,RFn,Jun,60,9760,6,6,360.0,674,7,0,2,328,4,2243.0,2.3,44,317,3.0,1,1,1,0,0
RL,Sawyer,1.5Fin,Wd Sdng,CBlock,No,Attchd,Unf,Aug,50,21286,5,5,0.0,0,7,1,1,0,3,1858.5,2.0,60,108,3.0,1,1,1,0,1
RL,Edwards,1.5Fin,MetalSd,BrkTil,No,Detchd,Unf,Apr,50,8405,5,8,0.0,241,7,0,1,0,1,2060.8,1.8,108,242,3.375,1,1,1,0,1
RL,NWAmes,2Story,Plywood,CBlock,No,Attchd,Fin,Nov,60,20544,7,6,123.0,0,7,1,2,364,3,2730.4,2.5,22,63,3.375,1,1,1,0,1
RL,CollgCr,1Story,HdBoard,CBlock,Av,Attchd,Unf,Aug,20,15523,5,6,0.0,460,5,1,1,0,2,1558.8,1.8,37,0,3.25,1,1,0,0,0
RM,Edwards,SFoyer,VinylSd,PConc,Gd,Basment,Fin,Jun,180,3675,6,5,82.0,547,5,0,2,0,4,1513.1,2.8,1,44,3.25,1,1,0,0,1
RL,Gilbert,2Story,VinylSd,PConc,No,Attchd,Fin,Jun,60,7861,6,5,0.0,457,7,1,2,100,4,2135.4,3.3,4,75,3.625,1,1,1,0,1
RM,MeadowV,SFoyer,CemntBd,CBlock,Av,,,May,180,1491,4,6,0.0,150,3,0,0,96,3,1136.1,1.8,38,24,2.625,1,0,0,0,0
RL,Somerst,1Story,VinylSd,PConc,Av,Attchd,RFn,Apr,20,8688,7,5,228.0,0,7,0,3,208,3,2916.1000000000004,2.0,1,59,3.625,1,1,0,0,0
RL,NAmes,1Story,MetalSd,CBlock,No,Attchd,RFn,Jun,20,10289,5,7,168.0,836,6,0,2,0,4,1939.3,2.3,42,0,3.0,1,1,0,0,0
RL,Edwards,1Story,WdShing,CBlock,No,,,Jul,30,13907,5,6,0.0,290,6,1,0,144,2,1799.1,1.8,68,0,2.5,1,0,0,0,1
RL,Edwards,1Story,VinylSd,CBlock,No,Detchd,Unf,Mar,30,12342,4,5,0.0,262,4,0,2,158,2,1549.8000000000002,1.0,69,0,3.25,1,1,0,0,1
RL,SWISU,2Story,Wd Sdng,PConc,No,Detchd,RFn,Apr,70,7200,7,9,0.0,350,6,0,2,256,4,1589.0,1.8,73,0,3.875,1,1,1,0,1
RL,NridgHt,1Story,CemntBd,PConc,Gd,Attchd,Fin,Jul,20,12456,10,5,230.0,1172,7,1,3,216,4,3087.6,2.8,3,48,4.0,1,1,0,0,1
RM,OldTown,2.5Unf,Wd Sdng,CBlock,No,Detchd,Unf,Jan,190,10120,7,4,0.0,0,9,1,1,0,3,2635.0,1.5,97,264,2.875,1,1,1,0,1
RL,NAmes,1Story,HdBoard,CBlock,No,Detchd,Unf,Aug,20,9204,5,5,0.0,25,6,0,1,0,2,2066.3,2.3,45,88,3.0,1,1,0,0,0
RM,BrkSide,1.5Fin,Wd Sdng,BrkTil,No,Detchd,Unf,May,50,6000,5,8,0.0,0,5,1,1,0,3,2060.2,1.8,84,208,3.25,1,1,1,0,1
RL,Crawfor,1Story,Stone,PConc,No,Attchd,Fin,Jul,20,14115,6,7,0.0,296,6,1,2,0,4,2678.4,1.0,50,280,3.5,1,1,0,0,1
FV,Somerst,1Story,MetalSd,PConc,No,Attchd,Fin,Apr,120,3316,8,5,0.0,1039,4,1,2,0,4,2248.3,2.3,1,84,3.625,1,1,0,0,0
RL,NWAmes,2Story,HdBoard,CBlock,No,Attchd,Unf,Mar,60,10421,7,5,42.0,394,7,1,2,228,4,2506.0,2.5,22,222,3.125,1,1,1,0,0
RL,NAmes,1Story,MetalSd,CBlock,No,Attchd,Unf,May,20,11029,6,8,0.0,528,6,1,2,0,4,2369.9,1.8,50,241,3.625,1,1,0,0,1
RL,Edwards,1.5Fin,VinylSd,CBlock,Mn,Detchd,Unf,Mar,50,9084,5,6,0.0,236,5,0,1,48,3,1609.8,1.4,67,0,2.75,1,1,1,0,1
RL,NAmes,SLvl,Wd Sdng,PConc,Av,Attchd,RFn,Apr,80,14112,5,7,86.0,1014,6,1,2,227,4,2073.6,1.8,46,0,3.0,1,1,0,0,0
RL,NWAmes,1Story,HdBoard,CBlock,No,Attchd,Unf,Jan,20,17043,6,5,0.0,0,7,1,2,192,3,2680.4000000000005,2.0,30,0,3.125,1,1,0,0,1
RL,StoneBr,1Story,VinylSd,PConc,No,Attchd,Fin,Jul,20,17423,9,5,748.0,1904,9,1,3,0,4,4013.1,2.8,1,60,4.0,1,1,0,0,1
RL,NAmes,1Story,HdBoard,CBlock,No,,,Jun,20,8125,4,4,0.0,614,5,0,0,0,2,1544.4,1.0,35,0,2.25,1,0,0,0,0
RL,Mitchel,1Story,HdBoard,CBlock,No,,,Mar,20,8780,5,5,0.0,625,5,0,0,0,4,1499.4,1.8,24,0,2.5,1,0,0,0,0
RL,CollgCr,1Story,VinylSd,PConc,Av,Attchd,RFn,May,20,9135,6,5,120.0,340,7,0,2,192,4,3052.6000000000004,2.8,3,23,3.625,1,1,0,0,0
RL,NAmes,1Story,HdBoard,CBlock,No,Attchd,Fin,Oct,20,9600,6,5,238.0,1285,7,2,2,110,4,2784.8,1.8,56,0,3.0,1,1,0,0,0
RL,NAmes,1Story,Wd Sdng,CBlock,No,Attchd,RFn,Apr,20,11600,6,5,175.0,565,7,0,1,0,1,2497.4,1.5,46,45,3.0,1,1,0,0,0
RL,Gilbert,2Story,VinylSd,PConc,No,BuiltIn,RFn,Jun,60,8755,7,5,298.0,772,8,1,2,0,4,2853.6,3.3,10,168,3.625,1,1,1,0,0
RL,Blmngtn,1Story,VinylSd,PConc,No,Attchd,Fin,Jun,120,3684,7,5,130.0,0,7,1,3,143,3,2658.7000000000003,2.0,2,20,3.625,1,1,0,0,0
RM,IDOTRR,1Story,BrkFace,BrkTil,No,Detchd,Unf,May,30,8263,6,5,0.0,0,6,1,1,0,3,1827.5,1.0,87,134,3.0,1,1,0,0,1
RL,NAmes,1Story,VinylSd,CBlock,No,Detchd,Unf,Jul,20,9100,5,6,0.0,338,5,0,1,0,2,1672.0,1.4,44,0,3.25,1,1,0,0,0
RL,CollgCr,1Story,VinylSd,PConc,Av,Attchd,RFn,May,20,8773,7,5,98.0,24,6,0,2,132,4,2551.7,2.0,6,105,3.625,1,1,0,0,0
C (all),IDOTRR,1.5Fin,Plywood,CBlock,No,,,Oct,50,8470,3,2,0.0,0,6,0,0,0,3,2346.9,1.0,94,156,1.75,1,0,0,0,1
RL,NAmes,1Story,MetalSd,CBlock,No,Attchd,Fin,Jun,90,8393,5,5,122.0,528,8,0,2,272,3,3019.8,2.0,47,54,3.25,1,1,0,0,1
RL,Edwards,1Story,VinylSd,CBlock,,Detchd,Fin,May,20,8777,4,5,0.0,0,5,0,2,0,0,1132.7,2.0,60,96,2.625,0,1,0,0,1
